,School_ID,Short_Name,Long_Name
0,610587,DYETT ARTS HS,Walter Henri Dyett High School for the Arts
1,400013,ASPIRA - EARLY COLLEGE HS,ASPIRA Charter School - Early College High School
2,400022,CHIARTS HS,Chicago High School for the Arts (ChiArts)
3,400032,CICS - ELLISON HS,CICS - Ralph Ellison
4,400033,CICS - LONGWOOD,CICS - Longwood
5,400034,CICS - NORTHTOWN HS,CICS - Northtown
6,400035,CHICAGO MATH & SCIENCE HS,Chicago Math and Science Academy Charter School
7,400051,NOBLE - NOBLE HS,Noble - Noble College Prep
8,400052,NOBLE - COMER,Noble - Gary Comer College Prep
9,400053,NOBLE - GOLDER HS,Noble - Golder College Prep
10,400054,NOBLE - PRITZKER HS,Noble - Pritzker College Prep
11,400055,NOBLE - RAUNER HS,Noble - Rauner College Prep
12,400056,NOBLE - ROWE CLARK HS,Noble - Rowe-Clark Math and Science Academy
13,400057,NOBLE - UIC HS,Noble - UIC College Prep
14,400058,NLCP - CHRISTIANA HS,North Lawndale College Prep - Christiana
15,400059,NLCP - COLLINS HS,North Lawndale College Prep - Collins
16,400061,PERSPECTIVES - LEADERSHIP HS,Perspectives - Leadership Academy
17,400062,PERSPECTIVES - TECH HS,Perspectives - High School of Technology
18,400064,PERSPECTIVES - JOSLIN HS,Perspectives - Rodney D. Joslin
19,400066,PERSPECTIVES - MATH & SCI HS,Perspectives - Math and Science Academy
20,400077,U OF C - WOODLAWN HS,University of Chicago - Woodlawn
21,400085,ACERO - GARCIA HS,Acero Charter Schools - Major Hector P. Garcia MD
22,400086,URBAN PREP - ENGLEWOOD HS,Urban Prep Academy for Young Men - Englewood
23,400091,CHICAGO TECH HS,Chicago Technology Academy High School
24,400094,EPIC HS,EPIC Academy Charter High School
25,400097,NOBLE - BULLS HS,Noble - Chicago Bulls College Prep
26,400098,NOBLE - MUCHIN HS,Noble - Muchin College Prep
27,400104,INSTITUTO - HEALTH,Instituto Health Sciences Career Academy
28,400105,URBAN PREP - BRONZEVILLE HS,Urban Prep Academy for Young Men - Bronzeville
29,400106,NOBLE - JOHNSON HS,Noble - John and Eunice Johnson College Prep
30,400117,NOBLE - HANSBERRY HS,Noble - Hansberry College Prep
31,400118,NOBLE - DRW HS,Noble - DRW College Prep
32,400119,LEGAL PREP HS,Legal Prep Charter Academy
33,400121,ACERO - DE LA CRUZ,Acero Charter Schools - Sor Juana Inés de la Cruz
34,400149,ACERO - SOTO HS,Acero Charter Schools - Victoria Soto
35,400156,NOBLE - BUTLER HS,Noble - Butler College Prep
36,400157,NOBLE - BAKER HS,Noble - Baker College Prep
37,400161,CHICAGO COLLEGIATE,Chicago Collegiate Charter School
38,400162,INTRINSIC HS,Intrinsic Charter School
39,400167,HORIZON - SOUTHWEST,Horizon Science Academy Southwest Chicago Charter
40,400169,NOBLE - ITW SPEER HS,Noble - ITW David Speer Academy
41,400170,NOBLE - ACADEMY HS,Noble - The Noble Academy
42,400172,ASPIRA - BUSINESS & FINANCE HS,ASPIRA Business and Finance
43,400179,NOBLE - MANSUETO HS,Noble Mansueto High School
44,400181,ART IN MOTION,Art in Motion Charter School
45,609674,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School
46,609676,DUNBAR HS,Paul Laurence Dunbar Career Academy High School
47,609678,JONES HS,William Jones College Preparatory High School
48,609679,PROSSER HS,Charles Allen Prosser Career Academy High School
49,609680,PAYTON HS,Walter Payton College Preparatory High School
50,609682,RICHARDS HS,Ellen H Richards Career Academy High School
51,609691,NORTH-GRAND HS,North-Grand High School
52,609692,SIMEON HS,Neal F Simeon Career Academy High School
53,609693,WESTINGHOUSE HS,George Westinghouse College Prep
54,609694,HANCOCK HS,John Hancock College Preparatory High School
55,609695,AMUNDSEN HS,Roald Amundsen High School
56,609698,BOGAN HS,William J Bogan High School
57,609704,FARRAGUT HS,David G Farragut Career Academy High School
58,609705,FENGER HS,Christian Fenger Academy High School
59,609708,FOREMAN HS,Edwin G. Foreman College and Career Academy
60,609709,GAGE PARK HS,Gage Park High School
61,609710,HARLAN HS,John M Harlan Community Academy High School
62,609712,HIRSCH HS,Emil G Hirsch Metropolitan High School
63,609713,HYDE PARK HS,Hyde Park Academy High School
64,609715,KELLY HS,Thomas Kelly College Preparatory
65,609716,KELVYN PARK HS,Kelvyn Park High School
66,609718,KENNEDY HS,John F Kennedy High School
67,609726,BROOKS HS,Gwendolyn Brooks College Preparatory Academy HS
68,609738,LINCOLN PARK HS,Lincoln Park High School
69,609719,LAKE VIEW HS,Lake View High School
70,609720,LANE TECH HS,Albert G Lane Technical High School
71,609722,MANLEY HS,Manley Career Academy High School
72,609723,MARSHALL HS,John Marshall Metropolitan High School
73,609724,MATHER HS,Stephen T Mather High School
74,609725,MORGAN PARK HS,Morgan Park High School
75,609727,PHILLIPS HS,Wendell Phillips Academy High School
76,609728,ROOSEVELT HS,Theodore Roosevelt High School
77,609729,SCHURZ HS,Carl Schurz High School
78,609730,SENN HS,Nicholas Senn High School
79,609732,STEINMETZ HS,Charles P Steinmetz College Preparatory HS
80,609733,SULLIVAN HS,Roger C Sullivan High School
81,609734,TAFT HS,William Howard Taft High School
82,609735,TILDEN HS,Edward Tilden Career Community Academy HS
83,609737,VON STEUBEN HS,Friedrich W von Steuben Metropolitan Science HS
84,609739,WASHINGTON HS,George Washington High School
85,609740,WELLS HS,Wells Community Academy High School
86,609741,HUBBARD HS,Gurdon S Hubbard High School
87,609744,NORTHSIDE LEARNING HS,Northside Learning Center High School
88,609746,KENWOOD HS,Kenwood Academy High School
89,609749,NORTHSIDE PREP HS,Northside College Preparatory High School
90,609751,KING HS,Dr  Martin Luther King  Jr  College Prep HS
91,609753,CHICAGO AGRICULTURE HS,Chicago High School for Agricultural Sciences
92,609754,CHICAGO MILITARY HS,Chicago Military Academy High School
93,609755,YOUNG HS,Whitney M Young Magnet High School
94,609756,CURIE HS,Marie Sklodowska Curie Metropolitan High School
95,609759,CLEMENTE HS,Roberto Clemente Community Academy High School
96,609760,CARVER MILITARY HS,George Washington Carver Military Academy HS
97,609761,CORLISS HS,George H Corliss High School
98,609762,JULIAN HS,Percy L Julian High School
99,609764,JUAREZ HS,Benito Juarez Community Academy High School
100,609766,VAUGHN HS,Jacqueline B Vaughn Occupational High School
101,609780,MARINE LEADERSHIP AT AMES HS,Marine Leadership Academy at Ames
102,610244,CLARK HS,Michele Clark Academic Prep Magnet High School
103,610245,DOUGLASS HS,Frederick A Douglass Academy High School
104,610304,PHOENIX MILITARY HS,Phoenix Military Academy High School
105,610323,BOWEN HS,Bowen High School
106,610334,RABY HS,Al Raby High School
107,610340,CHICAGO ACADEMY HS,Chicago Academy High School
108,610357,SPRY HS,Spry Community Links High School
109,610380,WILLIAMS HS,Daniel Hale Williams Prep School of Medicine
110,610381,BRONZEVILLE HS,Bronzeville Scholastic Academy High School
