Dept ID,Department,Network,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student
49021,Northside Learning Center,Network 14,98,33,5089471,2392334,275,8699.34
11675,Diverse Lrn Related Svc Prv CW,,1534,0,100502092,0,0,0.0
23231,Telpochcalli,Network 7,42,23,2570855,1758927,211,8336.14
23131,Esmond School,Network 10,36,17,2225225,1336180,235,5685.89
25351,Jesse Sherwood School,ISP,39,24,2490010,1750181,201,8707.36
25711,James Wadsworth School,Network 9,63,35,3453047,2249556,461,4879.72
23911,Edward N Hurley School,Network 10,74,51,4460665,3571569,732,4879.19
47061,Senn Metropolitan Academy Of Liberal Arts & Technology,Network 14,152,94,9422422,6556858,1597,4105.78
31281,Orozco Academy,Network 7,61,38,3302309,2306125,275,8385.86
46181,Thomas Kelly High School,Network 16,189,115,13100527,9258207,1637,5655.62
47101,Whitney M Young Magnet High School,Network 15,175,111,12072194,8793929,2230,3943.51
24771,Oriole Park School,Network 1,68,48,4177635,3323736,603,5511.97
22941,William E Dever School,Network 1,73,55,4264908,3578630,705,5076.08
29311,John H Vanderpoel Magnet Sch,Network 10,34,18,2054512,1250420,245,5103.74
24761,William J Onahan School,Network 1,57,39,3748076,2925670,645,4535.93
46321,Lincoln Park High School,Network 14,173,116,11570904,8559510,2210,3873.09
22531,Daniel R Cameron Elementary School,Network 5,78,49,4848892,3568548,640,5575.88
29011,Thomas A Edison Reg Gifted Ct,Network 1,22,13,1470968,939340,266,3531.36
24721,West Park Academy,Network 5,55,36,3565145,2804738,404,6942.41
29221,Philip Murray Language Academy,Network 9,50,25,3093963,1788972,472,3790.2
22351,William H Brown Elementary School,Network 6,46,23,2588778,1528927,233,6561.91
25601,James N Thorp School,Network 12,45,24,2373182,1510065,303,4983.72
24021,Joyce Kilmer School,Network 2,90,60,5335760,4087735,784,5213.96
26601,William E B Dubois School,Network 13,31,17,1975141,1266171,180,7034.28
46291,Charles P Steinmetz Academic C,Network 14,134,79,8753011,6426589,1149,5593.19
22681,Eliza Chappell Elementary School,Network 2,70,43,3722785,2550855,586,4352.99
25151,Cesar E Chavez Multiclt Acad C,ISP,101,59,5765332,4123036,792,5205.84
46281,Carl Schurz High School,Network 14,180,117,11595261,8714139,1169,7454.33
22061,Philip D Armour School,ISP,42,21,2044738,1261850,241,5235.88
25211,Sauganash School,Network 1,50,33,3245327,2620235,671,3904.99
22881,Charles R Darwin School,Network 4,56,36,2906770,2044433,501,4080.68
22081,George Armstrong Elementary School,ISP,119,86,7678968,6385195,1261,5063.63
24081,Rudyard Kipling School,ISP,32,18,2105402,1448592,216,6706.46
23651,Robert Healy School,Network 6,111,77,7578996,5998785,1177,5096.65
22401,Luther Burbank School,Network 3,90,50,5870042,4175705,682,6122.73
47021,William Jones Academic Mag HS,Network 15,160,110,10658697,8154069,1970,4139.04
22231,Alexander Graham Bell School,Network 4,94,58,6422939,4673757,888,5263.23
26391,George Leland School,Network 3,53,30,2983014,1987712,321,6192.26
24401,Oscar F Mayer School,Network 4,78,44,4353232,3069221,705,4353.54
49051,Simpson Academy for Yng Women,,18,13,1378007,1088011,0,0.0
31181,Francis W Parker Comm Academy,Network 11,59,28,3380024,2115480,344,6149.65
23341,J W Von Goethe School,Network 4,76,48,4293713,3333701,710,4695.33
25771,George Washington School,Network 13,74,47,4723357,3654376,562,6502.44
23491,Nathan Hale School,Network 10,83,54,5505227,4294979,756,5681.18
24241,Joseph Lovett School,Network 3,37,25,2279636,1757559,326,5391.3
24461,Hanson Park School,Network 3,173,100,10789423,7889436,1049,7520.86
23201,Fernwood School,Network 13,30,14,1529335,776123,243,3193.9
30141,Courtenay Language Arts Center,Network 2,74,35,3637259,2133910,275,7759.66
24431,Cyrus H Mccormick School,Network 7,68,44,4059561,3198721,438,7303.03
22171,Newton Bateman School,Network 1,91,59,5618177,4241850,873,4858.97
25581,Mancel Talcott School,Network 6,64,39,3465571,2541361,522,4868.51
53061,Neal F Simeon Voc High School,Network 17,134,72,8015202,5113070,1143,4473.39
25631,Enrico Tonti School,Network 8,90,61,5997402,4754094,766,6206.39
70020,Walter Payton College Preperatory HS,Network 15,112,86,7475307,6072425,1257,4830.88
23321,Frank L Gillespie School,Network 12,58,36,3149576,2404488,310,7756.42
29071,Gerald Delgado Kanoon Magnet School,Network 7,57,36,3595644,2717467,344,7899.58
25471,Adlai E Stevenson School,Network 10,117,72,7729278,5735735,1131,5071.36
25101,Frank W Reilly School,Network 4,87,57,5494573,4284203,520,8238.81
25951,Richard J Daley Academy,Network 8,61,39,3505566,2686052,475,5654.85
24821,John M Palmer School,ISP,75,52,5199685,4227725,738,5728.62
41111,Marine Leadership Acad at Ames,Network 14,86,53,5809355,3851723,571,6745.62
31211,Pulaski International School of Chicago,Network 6,77,48,4783075,3473104,912,3808.2
24711,Norwood Park School,Network 1,44,28,2537439,1932244,287,6732.56
24201,Carl Von Linne School,Network 4,59,42,3949135,3195271,695,4597.54
23041,John F Eberhart School,Network 10,116,73,7408009,5563486,949,5862.45
22201,Jean Baptiste Beaubien School,Network 1,81,51,5683611,4048918,985,4110.58
24941,Mary G Peterson School,Network 1,84,58,5065787,4023975,864,4657.36
46331,George Washington High School,Network 17,144,87,8421414,5798130,1517,3822.1
23751,South Loop School,ISP,62,40,3812318,2670879,797,3351.18
22311,Brentano Math & Science Academy,Network 4,57,37,3320768,2477185,785,3155.64
23811,Rufus M Hitch School,Network 1,51,36,3289596,2627696,490,5362.63
46141,Gage Park High School,Network 16,65,34,3132573,1766202,358,4933.54
46421,Benito Juarez High School,Network 15,164,114,10535484,8169389,1656,4933.2
23621,Stephen K Hayt School,Network 2,89,63,5800917,4667851,789,5916.16
25931,Ludwig Von Beethoven School,Network 9,39,21,1902366,1085510,303,3582.54
25661,Mark Twain School,Network 10,93,60,6008886,4845789,821,5902.31
47031,Emil G Hirsch Metropolitan High School,Network 17,29,12,1676170,974964,118,8262.4
25071,William H Ray School,Network 9,73,45,4373436,3316322,620,5348.91
45211,Chicago Academy School,Network 1,59,37,3334179,2407745,541,4450.51
32011,Albany Park Multi Acad School,Network 1,31,19,1957351,1354558,241,5620.57
26651,Mahalia Jackson School,Network 11,49,24,2731236,1751872,289,6061.8
25031,Ernst Prussing,Network 1,63,46,4289170,3524081,641,5497.79
24281,Mary Lyon School,Network 3,115,81,7780151,6240133,946,6596.33
25021,William H Prescott School,Network 4,49,29,3019026,2215304,477,4644.22
53091,David G Farragut Career Academy High School,Network 16,103,48,5834071,3062007,479,6392.51
23901,Charles Evans Hughes School,Network 7,32,19,1482913,1016552,173,5876.03
23401,William P Gray School,Network 1,100,70,6930860,5652694,970,5827.52
46511,Lindblom Math and Science Academy High School,Network 16,131,87,8005479,5898757,1307,4513.19
29161,Lasalle Language Academy School,Network 4,59,41,3773488,2910144,464,6271.88
26721,Sandoval School,Network 8,90,55,5333340,3914188,697,5615.71
25231,Sidney Sawyer School,Network 8,135,88,8650538,6649652,865,7687.51
23421,Ariel Community Academy,Network 9,60,32,3223405,2179074,315,6917.68
46381,Carver Military High School,Network 17,55,24,3691867,2033156,450,4518.14
24841,Park Manor Elementary School,Network 12,30,15,1853817,1274213,261,4882.06
24981,Ambrose Plamondon School,ISP,22,13,1212136,835123,93,8979.81
25881,Wildwood IB World Magnet,Network 1,49,32,3044171,2334711,526,4438.61
46021,Hancock High School,Network 15,84,63,6002874,4923913,1050,4689.48
24611,Wolfgang A Mozart School,Network 4,61,39,3957021,3077751,471,6534.53
23591,Helge A Haugan School,ISP,102,67,6103650,4756784,1030,4618.23
25491,Edward F Dunne School,Network 13,29,17,1922429,1475132,185,7973.69
22831,Peter Cooper Dual Language Academy,Network 7,56,34,3279678,2387181,420,5683.75
