,Dept ID,Department,Network,GeoNetwork,Total Staff,Teaching Staff,Total Staff Budget,Teaching Staff Budget,Students,Teacher Spending Per Student,Attendance Rate
49021,49021,Northside Learning Center,Network 14,NETWORK 14,183,0,11407911.0,0,277,11894.92,86.9
11675,11675,Diverse Lrn Related Svc Prv CW,,,2279,0,175112910.0,0,0,0.0,0.0
23131,23131,Esmond School,Network 10,NETWORK 10,56,0,4273913.0,0,228,6898.29,89.2
25711,25711,James Wadsworth School,Network 9,NETWORK 9,96,0,6704675.0,0,458,5599.67,88.3
47061,47061,Senn Metro Acd Of Lib Arts/Tec,Network 14,NETWORK 14,261,0,20047875.0,0,1608,5120.89,78.1
46181,46181,Thomas Kelly High School,Network 16,NETWORK 16,328,0,28002285.0,0,1651,6939.04,78.6
47101,47101,Whitney M Young Magnet High School,Network 15,NETWORK 15,346,0,29909150.0,0,2231,5615.83,93.6
24761,24761,William J Onahan School,Network 1,NETWORK 1,118,0,9996857.0,0,651,6715.41,92.3
29011,29011,Thomas A Edison Reg Gifted Ct,Network 1,NETWORK 1,44,0,3807244.0,0,266,5915.78,95.0
24721,24721,West Park Academy,Network 5,NETWORK 5,99,0,7581601.0,0,413,7479.54,90.7
25351,25351,Jesse Sherwood School,ISP,NETWORK 8,70,0,5528787.0,0,200,10578.0,91.7
29311,29311,John H Vanderpoel Magnet Sch,Network 10,NETWORK 10,58,0,4378840.0,0,244,6784.27,94.5
29221,29221,Philip Murray Language Academy,Network 9,NETWORK 9,77,0,5668358.0,0,484,4313.91,91.8
25601,25601,James N Thorp School,Network 12,NETWORK 12,97,0,6060684.0,0,301,7194.68,87.7
24021,24021,Joyce Kilmer School,Network 2,NETWORK 2,177,0,13984364.0,0,773,7579.03,91.8
26601,26601,William E B Dubois School,Network 13,NETWORK 13,48,0,3856574.0,0,183,8375.09,91.9
46291,46291,Steinmetz College Prep,Network 14,NETWORK 14,223,0,17892903.0,0,1156,6302.43,75.4
23231,23231,Telpochcalli School,Network 7,NETWORK 7,65,0,5420399.0,0,207,11379.22,88.7
22681,22681,Eliza Chappell School,Network 2,NETWORK 2,132,0,9546652.0,0,590,6270.15,92.6
25151,25151,Cesar E Chavez Multiclt Acad C,ISP,NETWORK 8,161,0,12248246.0,0,790,6051.12,93.2
46281,46281,Carl Schurz High School,Network 14,NETWORK 14,268,0,21033801.0,0,1171,7230.5,76.7
25211,25211,Sauganash School,Network 1,NETWORK 1,105,0,8417464.0,0,679,5356.91,93.9
22881,22881,Charles R Darwin School,Network 4,NETWORK 4,119,0,8379855.0,0,504,6426.8,92.5
22081,22081,George Armstrong Elementary School,ISP,NETWORK 2,222,0,17515801.0,0,1265,6160.69,92.2
24081,24081,Rudyard Kipling School,ISP,NETWORK 11,57,0,4398138.0,0,224,7871.43,92.0
22401,22401,Luther Burbank Elem,Network 3,NETWORK 3,158,0,11600298.0,0,683,6647.3,90.4
47021,47021,William Jones Academic Mag HS,Network 15,NETWORK 15,301,0,25123839.0,0,1967,5570.89,89.2
26391,26391,George Leland School,Network 3,NETWORK 3,110,0,7016073.0,0,328,8195.19,83.0
49051,49051,Simpson Academy for Yng Women,,,41,0,3402387.0,0,0,0.0,0.0
31181,31181,Francis W Parker Comm Academy,Network 11,NETWORK 11,102,0,7803371.0,0,355,8252.69,87.7
23341,23341,J W Von Goethe School,Network 4,NETWORK 4,152,0,10758690.0,0,712,6331.62,91.5
25771,25771,George Washington School,Network 13,NETWORK 13,106,0,8996671.0,0,568,6779.73,91.8
23491,23491,Nathan Hale School,Network 10,NETWORK 10,132,0,11682482.0,0,764,6675.15,91.3
24241,24241,Joseph Lovett School,Network 3,NETWORK 3,77,0,5878433.0,0,344,7501.3,93.7
24461,24461,Hanson Park School,Network 3,NETWORK 3,277,0,21433385.0,0,1069,7788.2,89.6
31281,31281,Orozco Fine Arts and Sci,Network 7,NETWORK 7,72,0,5053988.0,0,278,6824.18,94.6
24401,24401,Oscar F Mayer School,Network 4,NETWORK 4,125,0,9426525.0,0,707,5315.58,94.0
23201,23201,Fernwood School,Network 13,NETWORK 13,43,0,2324753.0,0,238,3556.38,92.6
30141,30141,Courtenay Language Arts Center,Network 2,NETWORK 2,105,0,7554199.0,0,274,10280.37,88.6
