Network,Total Schools,Average Staff Budget,Average Teacher Budget,Average Teacher Budget Per Student
,146,3075398.07,346498.54,0.0
Network 10,30,4800386.97,3383920.73,6179.84
ISP,48,4598659.5,3260399.46,6742.52
Network 14,21,9794221.9,6951258.24,6360.22
Network 16,16,6471612.12,4417700.88,7063.17
Network 15,26,6362293.42,4479765.69,7539.2
Network 1,34,4793091.82,3640670.68,5876.02
Network 5,28,3227907.61,2148774.0,7632.37
Network 9,27,3062830.56,2037107.67,6199.61
Network 12,33,2895147.12,1870957.52,6528.96
Network 2,22,4870348.59,3399129.73,6046.84
Network 13,34,3096953.53,2116293.79,6638.44
Network 7,25,3757086.0,2560011.76,7556.38
Network 4,34,4418749.26,3282670.0,6365.29
Network 6,23,4095337.09,2832120.7,6048.82
Network 3,23,4969193.04,3578822.78,6733.42
Network 11,28,2983459.79,1949521.04,6919.06
Network 17,19,4906555.32,3122769.0,6746.05
Network 8,27,4489041.0,3183068.56,7172.35
Charter,10,77158.8,0.0,0.0
Contract,2,96739.5,0.0,0.0
